True Cost 	Penalty 	Adjusted Cost
9.709164E-02	0.000000E+00	9.709164E-02
1.866821E-01	0.000000E+00	1.866821E-01
1.081680E-01	0.000000E+00	1.081680E-01
8.972073E-02	0.000000E+00	8.972073E-02
6.894093E-02	0.000000E+00	6.894093E-02
1.950890E-01	0.000000E+00	1.950890E-01
9.737393E-02	0.000000E+00	9.737393E-02
6.019110E-02	0.000000E+00	6.019110E-02
1.725369E-01	0.000000E+00	1.725369E-01
1.170112E-01	0.000000E+00	1.170112E-01
1.637582E-01	0.000000E+00	1.637582E-01
1.312088E-01	0.000000E+00	1.312088E-01
7.204577E-02	0.000000E+00	7.204577E-02
1.383706E-01	0.000000E+00	1.383706E-01
1.104474E-01	0.000000E+00	1.104474E-01
1.698760E-01	0.000000E+00	1.698760E-01
1.482545E-01	0.000000E+00	1.482545E-01
2.291558E-01	0.000000E+00	2.291558E-01
2.152158E-01	0.000000E+00	2.152158E-01
9.658914E-02	0.000000E+00	9.658914E-02
7.482782E-02	0.000000E+00	7.482782E-02
8.787742E-02	0.000000E+00	8.787742E-02
8.912248E-02	0.000000E+00	8.912248E-02
7.709821E-02	0.000000E+00	7.709821E-02
6.558699E-02	0.000000E+00	6.558699E-02
8.717168E-02	0.000000E+00	8.717168E-02
1.263869E-01	0.000000E+00	1.263869E-01
8.886743E-02	0.000000E+00	8.886743E-02
5.221980E-02	0.000000E+00	5.221980E-02
1.210280E-01	0.000000E+00	1.210280E-01
1.004718E-01	0.000000E+00	1.004718E-01
1.069184E-01	0.000000E+00	1.069184E-01
5.742264E-02	0.000000E+00	5.742264E-02
3.006028E-01	0.000000E+00	3.006028E-01
1.096664E-01	0.000000E+00	1.096664E-01
7.240950E-02	0.000000E+00	7.240950E-02
5.989139E-02	0.000000E+00	5.989139E-02
5.481402E-02	0.000000E+00	5.481402E-02
2.279619E-01	0.000000E+00	2.279619E-01
8.134099E-02	0.000000E+00	8.134099E-02
9.441916E-02	0.000000E+00	9.441916E-02
9.162593E-02	0.000000E+00	9.162593E-02
8.182613E-02	0.000000E+00	8.182613E-02
6.060796E-02	0.000000E+00	6.060796E-02
4.458422E-02	0.000000E+00	4.458422E-02
8.276399E-02	0.000000E+00	8.276399E-02
7.506114E-02	0.000000E+00	7.506114E-02
7.950538E-02	0.000000E+00	7.950538E-02
6.191557E-02	0.000000E+00	6.191557E-02
1.037130E-01	0.000000E+00	1.037130E-01
1.795840E-01	0.000000E+00	1.795840E-01
7.457352E-02	0.000000E+00	7.457352E-02
2.836710E-01	0.000000E+00	2.836710E-01
2.164375E-01	0.000000E+00	2.164375E-01
2.636307E-01	0.000000E+00	2.636307E-01
1.163037E-01	0.000000E+00	1.163037E-01
9.689828E-02	0.000000E+00	9.689828E-02
3.020737E-01	0.000000E+00	3.020737E-01
1.520972E-01	0.000000E+00	1.520972E-01
7.721572E-02	0.000000E+00	7.721572E-02
7.414654E-02	0.000000E+00	7.414654E-02
1.318260E-01	0.000000E+00	1.318260E-01
6.997628E-02	0.000000E+00	6.997628E-02
1.310191E-01	0.000000E+00	1.310191E-01
6.521510E-02	0.000000E+00	6.521510E-02
